rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.6865,0.598,0.625,1.0,9,5,False,True
2,frame_0078.jpg,31.2,0.6861,0.7361,0.5,0.84,8,4,False,True
3,frame_0374.jpg,149.6,0.6771,0.8242,0.75,0.2,11,6,False,True
4,frame_0290.jpg,116.0,0.673,0.6509,0.625,0.8,9,5,False,True
5,frame_0128.jpg,51.2,0.6652,0.7694,0.375,0.84,7,3,False,True
6,frame_0001.jpg,0.4,0.6637,0.5523,0.625,1.0,11,5,False,True
7,frame_0067.jpg,26.8,0.6611,0.6223,0.5,1.0,10,4,False,True
8,frame_0030.jpg,12.0,0.6506,0.6013,0.5,1.0,6,4,False,False
9,frame_0391.jpg,156.4,0.6476,0.6791,1.0,0.04,10,8,False,True
10,frame_0000.jpg,0.0,0.6443,0.5887,0.5,1.0,9,4,False,False
11,frame_0231.jpg,92.4,0.6442,0.6244,1.0,0.16,12,8,False,True
12,frame_0002.jpg,0.8,0.6419,0.5837,0.5,1.0,7,4,False,False
13,frame_0129.jpg,51.6,0.6411,0.6302,0.5,0.88,9,4,False,False
14,frame_0007.jpg,2.8,0.6384,0.6518,0.375,1.0,4,3,False,True
15,frame_0072.jpg,28.8,0.6383,0.5766,0.5,1.0,9,4,False,True
16,frame_0280.jpg,112.0,0.6378,0.6656,0.75,0.4,9,6,False,True
17,frame_0073.jpg,29.2,0.6368,0.7236,0.25,1.0,6,2,False,False
18,frame_0033.jpg,13.2,0.6314,0.4878,0.625,1.0,11,5,False,False
19,frame_0284.jpg,113.6,0.6264,0.7288,0.5,0.56,8,4,False,False
20,frame_0106.jpg,42.4,0.6157,0.8404,0.625,0.04,9,5,False,False
21,frame_0230.jpg,92.0,0.6149,0.7319,0.75,0.12,11,6,False,False
22,frame_0127.jpg,50.8,0.6083,0.5966,0.5,0.8,11,4,False,False
23,frame_0387.jpg,154.8,0.6083,0.7616,0.625,0.2,13,5,False,False
24,frame_0069.jpg,27.6,0.6064,0.5878,0.375,1.0,7,3,False,False
25,frame_0004.jpg,1.6,0.6014,0.4278,0.625,1.0,7,5,False,False
26,frame_0169.jpg,67.6,0.5957,0.7583,0.375,0.52,8,3,False,False
27,frame_0377.jpg,150.8,0.5917,0.6853,0.75,0.12,14,6,False,False
28,frame_0032.jpg,12.8,0.5897,0.5543,0.375,1.0,7,3,False,False
29,frame_0399.jpg,159.6,0.5886,0.6152,0.75,0.28,10,6,False,False
30,frame_0100.jpg,40.0,0.5865,0.7819,0.625,0.04,10,5,False,False
31,frame_0367.jpg,146.8,0.5864,0.7658,0.625,0.08,10,5,False,False
32,frame_0075.jpg,30.0,0.5856,0.4872,0.5,0.96,8,4,False,False
33,frame_0386.jpg,154.4,0.5854,0.7748,0.5,0.24,12,4,False,False
34,frame_0015.jpg,6.0,0.5852,0.5454,0.375,1.0,4,3,False,False
35,frame_0074.jpg,29.6,0.5835,0.617,0.25,1.0,6,2,False,False
36,frame_0397.jpg,158.8,0.5784,0.7018,0.625,0.2,11,5,False,False
37,frame_0318.jpg,127.2,0.5739,0.6768,0.625,0.24,8,5,False,False
38,frame_0027.jpg,10.8,0.5709,0.5168,0.375,1.0,6,3,False,False
39,frame_0068.jpg,27.2,0.5702,0.5904,0.25,1.0,9,2,False,False
40,frame_0016.jpg,6.4,0.57,0.44,0.5,1.0,6,4,False,False
41,frame_0013.jpg,5.2,0.5694,0.5887,0.25,1.0,3,2,False,False
42,frame_0008.jpg,3.2,0.5692,0.5883,0.25,1.0,3,2,False,False
43,frame_0014.jpg,5.6,0.5649,0.5047,0.375,1.0,4,3,False,False
44,frame_0279.jpg,111.6,0.5624,0.7557,0.375,0.36,8,3,False,False
45,frame_0028.jpg,11.2,0.5556,0.6362,0.125,1.0,7,1,False,False
46,frame_0120.jpg,48.0,0.5553,0.6025,0.5,0.52,8,4,False,False
47,frame_0297.jpg,118.8,0.5546,0.6443,0.375,0.6,6,3,False,False
48,frame_0126.jpg,50.4,0.5537,0.5784,0.375,0.76,9,3,False,False
49,frame_0109.jpg,43.6,0.5524,0.6228,0.75,0.08,11,6,False,False
50,frame_0378.jpg,151.2,0.552,0.697,0.625,0.08,12,5,False,False
51,frame_0186.jpg,74.4,0.5509,0.7858,0.5,0.04,10,4,False,False
